,30YAV_poly_adj
01/11/2021,101.2542094
02/11/2021,101.67235
03/11/2021,102.0851889
04/11/2021,102.4927259
05/11/2021,102.894961
06/11/2021,103.2918944
07/11/2021,103.683526
08/11/2021,104.0698557
09/11/2021,104.4508836
10/11/2021,104.8266097
11/11/2021,105.197034
12/11/2021,105.5621564
13/11/2021,105.9219771
14/11/2021,106.2764959
15/11/2021,106.6257129
16/11/2021,106.9696281
17/11/2021,107.3082415
18/11/2021,107.641553
19/11/2021,107.9695627
20/11/2021,108.2922706
21/11/2021,108.6096767
22/11/2021,108.921781
23/11/2021,109.2285835
24/11/2021,109.5300841
25/11/2021,109.8262829
26/11/2021,110.1171799
27/11/2021,110.4027751
28/11/2021,110.6830684
29/11/2021,110.95806
30/11/2021,111.2277497
01/12/2021,111.4921376
02/12/2021,111.7512237
03/12/2021,112.005008
04/12/2021,112.2534904
05/12/2021,112.496671
06/12/2021,112.7345498
07/12/2021,112.9671268
08/12/2021,113.194402
09/12/2021,113.4163754
10/12/2021,113.6330469
11/12/2021,113.8444166
12/12/2021,114.0504845
13/12/2021,114.2512506
14/12/2021,114.4467148
15/12/2021,114.6368773
16/12/2021,114.8772111
17/12/2021,115.1006978
18/12/2021,115.3060932
19/12/2021,115.5007931
20/12/2021,115.6938568
21/12/2021,115.8872005
22/12/2021,116.0806577
23/12/2021,116.2611451
24/12/2021,116.4415898
25/12/2021,116.6089957
26/12/2021,116.775682
27/12/2021,116.9203584
28/12/2021,117.0684286
29/12/2021,117.2082304
30/12/2021,117.3263409
31/12/2021,117.4216752
01/01/2022,117.5087501
02/01/2022,117.5932372
03/01/2022,117.6861715
04/01/2022,117.7724934
05/01/2022,117.8507871
06/01/2022,117.9217863
07/01/2022,117.9748753
08/01/2022,118.0288928
09/01/2022,118.0968664
10/01/2022,118.1378888
11/01/2022,118.1810218
12/01/2022,118.2256937
13/01/2022,118.2539445
14/01/2022,118.2854612
15/01/2022,118.3248023
16/01/2022,118.3580452
17/01/2022,118.3598163
18/01/2022,118.3510025
19/01/2022,118.3436479
20/01/2022,118.3267893
21/01/2022,118.3169312
22/01/2022,118.2778973
23/01/2022,118.2132577
24/01/2022,118.1320418
25/01/2022,118.062008
26/01/2022,117.9922654
27/01/2022,117.9127962
28/01/2022,117.8290505
29/01/2022,117.7401962
30/01/2022,117.6357109
31/01/2022,117.5287423
01/02/2022,117.4185692
02/02/2022,117.304538
03/02/2022,117.1716095
04/02/2022,117.0195189
05/02/2022,116.8463498
06/02/2022,116.6832061
07/02/2022,116.5219871
08/02/2022,116.3830778
09/02/2022,116.2416582
10/02/2022,116.065563
11/02/2022,115.8937661
12/02/2022,115.722364
13/02/2022,115.5612721
14/02/2022,115.3953538
15/02/2022,115.206822
16/02/2022,115.0053553
17/02/2022,114.7791563
18/02/2022,114.5411707
19/02/2022,114.277831
20/02/2022,114.0060139
21/02/2022,113.7402416
22/02/2022,113.46675
23/02/2022,113.1876645
24/02/2022,112.9007543
25/02/2022,112.615175
26/02/2022,112.2928449
27/02/2022,111.9435798
28/02/2022,111.5963706
